书名,评分,作者/出版信息,出版年份,短评总赞,短简介,链接
人类简史: 从动物到上帝,9.1,[以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11 / 68.00元,2014.0,11586,跟着人类一同走过十万年,https://book.douban.com/subject/25985021/
献给阿尔吉侬的花束,9.1,[美] 丹尼尔·凯斯 / 陈澄和 / 广西师范大学出版社 / 2015-4 / 36.00元,2015.0,24359,当声称能改造智能的科学实验选中心智障碍主角,https://book.douban.com/subject/26362836/
平凡的世界（全三部）,9.0,路遥 / 人民文学出版社 / 2005-1 / 64.00元,2005.0,9116,中国当代城乡生活全景,https://book.douban.com/subject/1200840/
围城,9.0,钱锺书 / 人民文学出版社 / 1991-2 / 19.00,1991.0,13278,,https://book.douban.com/subject/1008145/
笑傲江湖（全四册）,9.1,金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,1994.0,7978,欲练此功，必先自宫,https://book.douban.com/subject/1002299/
东方快车谋杀案,9.1,[英] 阿加莎·克里斯蒂 / 陈尧光 / 人民文学出版社 / 2006-5 / 18.00元,2006.0,7012,谋杀诡计惊人，波洛的抉择耐人寻味,https://book.douban.com/subject/1827374/
城南旧事: 纪念普及版,9.1,林海音 文 / 中国青年出版社 / 2003-7 / 16.00元,2003.0,6751,长亭外，古道边，芳草碧连天,https://book.douban.com/subject/1254588/
故事新编,9.4,鲁迅 / 人民文学出版社 / 1973-12-01 / 0.31 元,1973.0,1968,拾取古代传说，取一点因由，随意点染,https://book.douban.com/subject/2046909/
肖申克的救赎,9.1,[美] 斯蒂芬·金 / 施寄青 / 人民文学出版社 / 2006-7 / 29.90元,2006.0,8034,豆瓣电影Top1原著,https://book.douban.com/subject/1829226/
江城,9.1,[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2012-1 / 36.00元,2012.0,4620,外国人眼中的涪陵,https://book.douban.com/subject/7060185/
基督山伯爵,9.1,[法国] 大仲马 / 周克希 / 上海译文出版社 / 1991-12-1 / 43.90元,1991.0,11367,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景,https://book.douban.com/subject/1085860/
朝花夕拾,9.1,鲁迅 / 人民文学出版社 / 1973-4 / 0.25元,1973.0,3959,在纷扰中寻出一点闲静,https://book.douban.com/subject/1449352/
万历十五年,9.0,[美] 黄仁宇 / 生活·读书·新知三联书店 / 1997-5 / 18.00元,1997.0,9595,见微知著，历史观的颠覆,https://book.douban.com/subject/1041482/
秋园,9.0,杨本芬 / 北京联合出版公司 / 2020-6 / 38.00元,2020.0,21997,,https://book.douban.com/subject/34998019/
霍乱时期的爱情,9.0,[哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元,2012.0,64792,义无反顾地直达爱情的核心,https://book.douban.com/subject/10594787/
艺术的故事,9.5,[英] 贡布里希 (Sir E.H.Gombrich) / 范景中 / 广西美术出版社 / 2008-04 / 280.00,2008.0,4799,从最早的洞窟绘画到当今的实验艺术,https://book.douban.com/subject/3162991/
置身事内: 中国政府与经济发展,9.1,兰小欢 / 上海人民出版社 / 2021-8 / 65.00元,2021.0,9347,,https://book.douban.com/subject/35546622/
厌女: 日本的女性嫌恶,9.1,上野千鹤子 / 王兰 / 上海三联书店 / 2015-1 / 28.00元,2015.0,22745,,https://book.douban.com/subject/25836270/
射雕英雄传,9.1,金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00元,1999.0,4542,侠之大者，为国为民,https://book.douban.com/subject/1044547/
月亮和六便士,8.9,[英] 毛姆 / 傅惟慈 / 上海译文出版社 / 2006-8 / 15.00元,2006.0,10461,有多少人会经历顿悟，就有更少的人甘愿自我放逐,https://book.douban.com/subject/1858513/
西游记（全二册）,9.1,吴承恩 / 黄肃秋 注释 / 人民文学出版社 / 2004-8 / 47.20元,2004.0,5009,神魔皆有人情，精魅亦通世故,https://book.douban.com/subject/1029553/
无人生还,9.0,[英] 阿加莎・克里斯蒂 / 祁阿红 / 人民文学出版社 / 2008-3 / 19.00,2008.0,7391,童谣杀人案,https://book.douban.com/subject/3006581/
追风筝的人,8.9,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元,2006.0,26709,为你，千千万万遍,https://book.douban.com/subject/1770782/
树上的男爵,9.1,[意大利]伊塔洛·卡尔维诺 / 吴正仪 / 译林出版社 / 2012-4-1 / 30.00元,2012.0,5154,是不是真的只有先与人疏离，才能最终与他们在一起？,https://book.douban.com/subject/6789605/
寻路中国: 从乡村到工厂的自驾之旅,9.0,[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2011-1 / 33.00元,2011.0,4339,《纽约客》驻北京记者驾车漫游中国大陆的经历,https://book.douban.com/subject/5414391/
格林童话全集,9.1,[德]格林兄弟 / 魏以新 / 人民文学出版社 / 1994-11 / 21.45元,1994.0,963,一本有教育意义的书,https://book.douban.com/subject/1043008/
刀锋,9.0,[英]毛姆 / 周煦良 / 上海译文出版社 / 2007-3 / 18.00元,2007.0,13322,一把刀的锋刃不容易越过；因此智者说得救之道是困难的,https://book.douban.com/subject/2035162/
中国少年儿童百科全书（全四册）,9.4,林崇德 主编 / 浙江教育出版社 / 1991-4 / 168.00元,1991.0,1885,,https://book.douban.com/subject/1028409/
太白金星有点烦,9.0,马伯庸 / 湖南文艺出版社 / 2023-6 / 45.00,2023.0,11487,,https://book.douban.com/subject/36328704/
可能性的艺术: 比较政治学30讲,9.2,刘瑜 / 广西师范大学出版社 / 2022-4 / 82.00元,2022.0,3617,,https://book.douban.com/subject/35819419/
鼠疫,9.1,[法] 阿尔贝·加缪 / 刘方 / 上海译文出版社 / 2013-8 / 34.00元,2013.0,5996,用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理,https://book.douban.com/subject/24257229/
刘擎西方现代思想讲义,9.2,刘擎 / 新星出版社 / 2021-1 / 79.00元,2021.0,5913,,https://book.douban.com/subject/35313227/
嫌疑人X的献身,8.9,[日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00,2008.0,22307,数学好是一种极致的浪漫,https://book.douban.com/subject/3211779/
孽子,9.2,白先勇 / 广西师范大学出版社 / 2010-10 / 46.00元,2010.0,13040,写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们,https://book.douban.com/subject/5337254/
傲慢与偏见,8.9,[英] 奥斯丁 / 张玲 / 人民文学出版社 / 1993-7 / 13.00元,1993.0,8341,所有现代言情小说的母体,https://book.douban.com/subject/1083428/
史记（全十册）: （全十册）,9.6,司马迁 / （索隐）司马贞，（正义）张守节 / 中华书局 / 1982-11 / 125.00,1982.0,2922,史家之绝唱，无韵之离骚,https://book.douban.com/subject/1077847/
黄金时代: 时代三部曲,8.9,王小波 / 花城出版社 / 1999-3 / 19.00元,1999.0,15372,我想爱，想吃，还想在一瞬间变成天上半明半暗的云,https://book.douban.com/subject/1089243/
四世同堂,9.4,老舍 / 北京十月文艺出版社 / 2008-7 / 36.00元,2008.0,3404,北平沦陷时代广大平民的悲惨遭遇,https://book.douban.com/subject/3183775/
一间只属于自己的房间,9.2,[英] 弗吉尼亚·伍尔夫 / 周颖琪 / 天津人民出版社 / 2019-10 / 39.8元,2019.0,8414,,https://book.douban.com/subject/34835082/
诗经,9.5,孔丘 编订 / 北京出版社 / 2006-7 / 19.90元,2006.0,3643,思无邪,https://book.douban.com/subject/1883245/
悲惨世界（上中下）,9.1,[法] 雨果 / 李丹 / 人民文学出版社 / 1992-6 / 66.00元,1992.0,4724,现实主义与浪漫主义的至高杰作,https://book.douban.com/subject/1205054/
台北人,9.0,白先勇 / 广西师范大学出版社 / 2010-10 / 38.00元,2010.0,8931,白先勇短篇小说集,https://book.douban.com/subject/5337248/
毛泽东选集: 第一卷,9.6,毛泽东 / 人民出版社 / 1991-6 / 40.00元,1991.0,7891,,https://book.douban.com/subject/1139360/
永恒的终结: 关于时间旅行的终极奥秘和恢宏构想,9.1,[美] 艾萨克·阿西莫夫 / 崔正男 / 江苏凤凰文艺出版社 / 2014-9 / 32.00元,2014.0,5994,关于时间旅行的终极奥秘和恢宏构想,https://book.douban.com/subject/25829693/
一个叫欧维的男人决定去死,9.1,[瑞典] 弗雷德里克·巴克曼 / 宁蒙 / 四川文艺出版社 / 2015-12 / 35.00元,2015.0,7301,这个发生在瑞典的故事，如生命庆典般绚丽斑斓,https://book.douban.com/subject/26672693/
美丽新世界,9.1,【英】奥尔德斯·赫胥黎 / 陈超 / 上海译文出版社 / 2017-6 / 45.00元,2017.0,2286,,https://book.douban.com/subject/27002046/
南京大屠杀: 第二次世界大战中被遗忘的大浩劫,9.7,[美]张纯如（Iris Chang） / 谭春霞 / 中信出版社 / 2015-8 / 49.00元,2015.0,2939,,https://book.douban.com/subject/26545308/
始于极限: 女性主义往复书简,9.0,[日] 上野千鹤子 / 曹逸冰 / 新星出版社 / 2022-9-20 / 59.00元,2022.0,2806,,https://book.douban.com/subject/35966120/
神雕侠侣,8.9,金庸 / 有1996年11月北平第4次印本 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,1996.0,6927,至情至性，情大于武,https://book.douban.com/subject/1255624/
绝叫,8.9,[日] 叶真中显 / 林佩瑾 / 北京联合出版公司 / 2020-7 / 58.00元,2020.0,18908,,https://book.douban.com/subject/35031587/
