书名,评分,作者/出版信息,出版年份,短评总赞,短简介,链接
你当像鸟飞往你的山,8.7,塔拉·韦斯特弗 / 任爱红 / 南海出版公司 / 2019-10 / 59.00元,2019.0,36449,我来自一个极少有人能想象的家庭，教育给了我新世界,https://book.douban.com/subject/33440205/
海的女儿,9.1,安徒生 / 叶君健 / 上海译文出版社 / 1978年6月 / 0.43,1978.0,783,,https://book.douban.com/subject/1765512/
半生缘: 张爱玲全集04——小说,9.1,张爱玲 / 北京十月文艺出版社 / 2012-6-1 / 29.60元,2012.0,8217,,https://book.douban.com/subject/10757938/
经济学原理（上下）,9.1,[美] 曼昆 / 梁小民 / 机械工业出版社 / 2003-8 / 88.00元,2003.0,514,经济学家们的世界观,https://book.douban.com/subject/1028842/
天朝的崩溃: 鸦片战争再研究（修订版）,9.4,茅海建 / 生活·读书·新知三联书店 / 2014-10 / 59.00元,2014.0,3232,,https://book.douban.com/subject/25935941/
鹿川有许多粪,8.9,李沧东 / 春喜 / 武汉大学出版社 / 2021-8 / 58.00元,2021.0,4995,,https://book.douban.com/subject/35517022/
國史大綱（上下）,9.4,錢穆 / 商务印书馆 / 2013-8 / 76.00元,2013.0,2506,钱穆中国通史,https://book.douban.com/subject/1046492/
我不知道该说什么，关于死亡还是爱情: 来自切尔诺贝利的声音,9.2,[白俄] S·A·阿列克谢耶维奇 / 方祖芳 / 花城出版社 / 2014-6-15 / 34.80元,2014.0,3706,真实记录切尔诺贝利核灾难事件,https://book.douban.com/subject/25884880/
东晋门阀政治,9.5,田余庆 / 北京大学出版社 / 2012-5 / 49.00元,2012.0,2238,,https://book.douban.com/subject/10758290/
万水千山走遍,8.9,三毛 / 哈尔滨出版社 / 2003-08 / 13.80,2003.0,1728,从遥远的撒哈拉到敦煌戈壁,https://book.douban.com/subject/1036490/
冰与火之歌: （1-5卷：权力的游戏、列王的纷争、冰雨的风暴、群鸦的盛宴、魔龙的狂,9.5,[美]乔治·R.R.马丁 / 谭光磊 / 重庆出版社 / 2013-10-1 / 330.00元,2013.0,5696,乔治·R·R·马丁史诗奇幻小说,https://book.douban.com/subject/25826936/
史蒂夫·乔布斯传,8.8,[美] 沃尔特·艾萨克森 / 管延圻 / 中信出版社 / 2011-10-24 / 68.00元,2011.0,2125,完美主义者的最高形态,https://book.douban.com/subject/6798611/
草房子,9.0,曹文轩 / 江苏少年儿童出版社 / 2009-6 / 18.00元,2009.0,2694,男孩桑桑刻骨铭心、终身难忘的六年小学生活,https://book.douban.com/subject/1052990/
李光耀观天下,9.2,李光耀 / 北京大学出版社 / 2015-6 / 58.00元,2015.0,2906,,https://book.douban.com/subject/26413154/
全球通史: 从史前史到21世纪,9.0,斯塔夫里阿诺斯 / 吴象婴 / 北京大学出版社 / 2012-2-1 / 168.00元,2012.0,2267,,https://book.douban.com/subject/10583099/
苏菲的世界,8.8,[挪] 乔斯坦·贾德 / 萧宝森 / 作家出版社 / 2007-10 / 26.00元,2007.0,1905,哲学启蒙书,https://book.douban.com/subject/2284311/
亮剑,9.0,都梁 / 解放军文艺出版社 / 2005-3 / 28.00元,2005.0,5225,面对强大的对手，明知不敌，也要毅然亮剑,https://book.douban.com/subject/1088022/
生死疲劳,9.0,莫言 / 浙江文艺出版社 / 2021-11 / 69.90元,2021.0,3454,,https://book.douban.com/subject/35587028/
一个陌生女人的来信,8.7,[奥] 斯蒂芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元,2007.0,16938,暗恋的极致,https://book.douban.com/subject/2154960/
德米安: 埃米尔·辛克莱的彷徨少年时,8.9,[德] 赫尔曼·黑塞 / 丁君君 / 上海人民出版社 / 2009-3 / 25.00元,2009.0,6686,少年辛克莱寻找通向自身之路的艰辛历程,https://book.douban.com/subject/3578470/
爱的艺术,8.8,[美] 艾·弗洛姆 / 李健鸣 / 上海译文出版社 / 2008-4 / 15.00元,2008.0,13699,谦恭地、勇敢地、真诚地和有纪律地爱他人,https://book.douban.com/subject/3026879/
温柔的夜,9.1,三毛 / 北京十月文艺出版社 / 2007-5 / 28.00元,2007.0,559,三毛在加纳利群岛的生活,https://book.douban.com/subject/2068249/
球状闪电,8.7,刘慈欣 / 四川科学技术出版社 / 2005-6 / 22.00元,2005.0,9953,量子之外，没有真相,https://book.douban.com/subject/1192090/
不能承受的生命之轻: 中文全译本百万纪念版,8.8,米兰·昆德拉 / 许钧 / 上海译文出版社 / 2010-8 / 29.00元,2010.0,1679,,https://book.douban.com/subject/4920007/
恶意,8.7,[日] 东野圭吾 / 娄美莲 / 南海出版公司 / 2016-11 / 39.50元,2016.0,18240,,https://book.douban.com/subject/26877752/
古文观止,9.1,吴楚材 / 中华书局 / 1987-1-1 / 21.00元,1987.0,1925,收录自先秦至明末的散文二百二十二篇,https://book.douban.com/subject/1014561/
我的阿勒泰,8.9,李娟 / 云南人民出版社 / 2010-7 / 25.00元,2010.0,1879,描写疆北阿勒泰地区生活和风情的原生态散文集,https://book.douban.com/subject/4884218/
亲密关系（第6版）,9.2,[美] 罗兰·米勒 (Rowland S. Miller) / 王伟平 译 / 人民邮电出版社 / 2015-6 / 138.00元,2015.0,13075,,https://book.douban.com/subject/26585065/
倾城之恋: 张爱玲全集01——小说,8.9,张爱玲 / 北京十月文艺出版社 / 2012-6-1 / 29.80元,2012.0,6063,,https://book.douban.com/subject/10757940/
天生有罪: 特雷弗·诺亚的变色人生,9.1,[南非] 特雷弗·诺亚 / 董帅 / 北京联合出版公司 / 2018-2-1 / 58.00,2018.0,1988,,https://book.douban.com/subject/30125030/
社会心理学: （第8版）,9.0,[美] 戴维·迈尔斯 / 张智勇 / 人民邮电出版社 / 2006-1 / 68.00元,2006.0,6401,人们是如何思索、影响他人并与他人建立联系的,https://book.douban.com/subject/1476651/
麦琪的礼物: 欧·亨利短篇小说经典,8.7,[美] 欧·亨利 / 张经浩 / 上海社会科学院出版社 / 2003-7 / 25.00元,2003.0,1174,日常的奇迹,https://book.douban.com/subject/1051193/
翦商: 殷周之变与华夏新生,8.9,李硕 / 广西师范大学出版社 / 2022-10 / 99.00元,2022.0,1469,,https://book.douban.com/subject/36096304/
帷幕: 阿加莎·克里斯蒂作品33,9.2,[英]阿加莎·克里斯蒂 / 李杨 / 新星出版社 / 2015-2 / 26.00,2015.0,2932,,https://book.douban.com/subject/26292535/
包法利夫人,9.1,福楼拜 / 李健吾 / 人民文学出版社 / 2003-1-1 / CNY 28.00,2003.0,11005,,https://book.douban.com/subject/25897678/
足利女童连续失踪事件,9.0,[日] 清水洁 / 曾玉婷 / 文汇出版社 / 2022-7 / 49.00元,2022.0,2875,,https://book.douban.com/subject/35776315/
父权制与资本主义,9.2,[日] 上野千鹤子 / 邹韵 / 浙江大学出版社 / 2020-3 / 58.00元,2020.0,15663,,https://book.douban.com/subject/34896921/
看不见的女性,9.1,卡罗琳·克里亚多·佩雷斯 / 詹涓 / 新星出版社 / 2022-8 / 69.00元,2022.0,7455,,https://book.douban.com/subject/35942057/
一桩事先张扬的凶杀案,8.7,[哥伦比亚] 加西亚·马尔克斯 / 魏然 / 南海出版公司 / 2013-6 / 25.00元,2013.0,9870,我如此急切地想要讲述这桩案件，也许是它最终确定了我的作家生涯,https://book.douban.com/subject/24382569/
雕刻时光,9.4,[苏] 安德烈·塔可夫斯基 / 张晓东 / 南海出版公司 / 2016-5 / 45.00元,2016.0,1598,,https://book.douban.com/subject/26435510/
一个女人的故事: 全新修订版,9.0,[法]安妮·埃尔诺 / 郭玉梅 / 上海人民出版社 / 2022-10 / 38.00,2022.0,2499,,https://book.douban.com/subject/36078195/
我也有一个梦想: 近距离看美国之三,9.0,林达 / 生活·读书·新知三联书店 / 2004-08 / 25.00元,2004.0,818,在法治国家里，民众怎样运用法律,https://book.douban.com/subject/1014825/
激荡三十年（上）: 中国企业1978-2008,8.8,吴晓波 / 中信出版社 / 2007-1 / 35.00,2007.0,1003,这是一个最好的时代，也是一个最坏的时代,https://book.douban.com/subject/1970428/
当呼吸化为空气,8.9,[美] 保罗·卡拉尼什 / 何雨珈 / 浙江文艺出版社 / 2016-11 / 48.00元,2016.0,2454,你在死亡中探究生命的意义，你见证生前的呼吸化作死后的空气,https://book.douban.com/subject/26896859/
在细雨中呼喊,8.8,余华 / 作家出版社 / 2012-11-1 / 25.00元,2012.0,7964,,https://book.douban.com/subject/20421947/
银河帝国：基地七部曲: 百万册纪念版,9.5,[美] 艾萨克·阿西莫夫 / 叶李华 / 江苏凤凰文艺出版社 / 2015-10-1 / 328.00元,2015.0,2526,阿西莫夫经典科幻小说,https://book.douban.com/subject/26389895/
理想国,8.8,[古希腊] 柏拉图 / 郭斌和 / 商务印书馆 / 1986-8 / 28.00元,1986.0,4168,人类历史上最早的乌托邦,https://book.douban.com/subject/1004821/
挽救计划,9.1,[美] 安迪·威尔 / 耿辉 / 译林出版社 / 2021-9 / 68.00,2021.0,966,,https://book.douban.com/subject/35494160/
海风中失落的血色馈赠,9.0,[加拿大] 阿利斯泰尔·麦克劳德 / 陈以侃 / 上海文艺出版社 / 2015-6-1 / CNY 20.00,2015.0,3829,男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟,https://book.douban.com/subject/26357614/
情书,8.6,[日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元,2004.0,4590,一场同名同姓的误会，两段可贵的爱情,https://book.douban.com/subject/1080370/
尼罗河上的惨案,8.7,[英] 阿加莎·克里斯蒂 / 宫英海 / 人民文学出版社 / 2006-5 / 22.00元,2006.0,3331,阿加莎·克里斯蒂代表作,https://book.douban.com/subject/1818347/
雷雨,8.7,曹禺 / 人民文学出版社 / 1999-05 / 9.20,1999.0,2183,一幕人生大悲剧，在一个雷雨夜爆发,https://book.douban.com/subject/1013416/
倚天屠龙记,8.7,金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00,1999.0,2356,不识张郎是张郎,https://book.douban.com/subject/1070851/
骆驼祥子,8.6,老舍 / 人民文学出版社 / 1962-10-1 / 12.00元,1962.0,9794,旧中国老北京贫苦市民的典型命运,https://book.douban.com/subject/1043815/
水浒传（全二册）,8.7,[明] 施耐庵 / 人民文学出版社 / 1997-1 / 50.60元,1997.0,3505,替天行道,https://book.douban.com/subject/1008357/
万物有灵且美,8.9,[英] 吉米·哈利 / 种衍伦 / 中国城市出版社 / 2010-1 / 28.80,2010.0,858,活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事,https://book.douban.com/subject/4187411/
从零开始的女性主义,8.7,[日本] 上野千鹤子 / 吕灵芝 / 北京联合出版公司 / 2021-9 / 52.00元,2021.0,5207,,https://book.douban.com/subject/35523099/
孙子兵法,9.4,孙武 / 郭化若 / 上海古籍出版社 / 2006-7 / 20.00元,2006.0,949,我国最古老最杰出的一部兵书,https://book.douban.com/subject/1949420/
荒原狼,9.0,[德]赫尔曼·黑塞 / 赵登荣 / 上海译文出版社 / 2008-7 / 13.00,2008.0,2394,“超现实主义”风格作品，德国的《尤利西斯》,https://book.douban.com/subject/3131626/
最好的我们,8.7,八月长安 / 湖南文艺出版社 / 2013-8-5 / 55,2013.0,8306,耿耿余淮,https://book.douban.com/subject/24754316/
跨越边界的社区（修订版）: 北京“浙江村”的生活史,9.4,项飙 / 生活·读书·新知三联书店 / 2018-3 / 68.00元,2018.0,2277,,https://book.douban.com/subject/30116399/
雨季不再来,8.8,三毛 / 北京十月文艺出版社 / 2007-7 / 28.00元,2007.0,654,三毛少女时代的成长感受,https://book.douban.com/subject/2136140/
一千零一夜,8.8,纳训 / 人民文学出版社 / 2003-01 / 22.00,2003.0,831,阿拉伯地区的古代民间传说,https://book.douban.com/subject/1035848/
孩子你慢慢来,8.7,龙应台 / 生活·读书·新知三联书店 / 2009-12-1 / 28.00元,2009.0,2794,我们现在怎样做母亲,https://book.douban.com/subject/4207781/
庄子,9.4,孙通海 译注 / 孙通海  译注 / 中华书局 / 2007-04 / 20.00元,2007.0,2024,野马也，尘埃也，生物之以息相吹也,https://book.douban.com/subject/2046236/
九州·缥缈录,8.8,江南 / 新世界出版社 / 2005-6 / 20.00元,2005.0,3509,乱世的英雄史诗,https://book.douban.com/subject/1321017/
罗生门,8.7,[日] 芥川龙之介 / 林少华 / 上海译文出版社 / 2008-7 / 12.00元,2008.0,3878,人生，远比地狱更像地狱,https://book.douban.com/subject/3136271/
奥斯维辛: 一部历史,9.5,[英] 劳伦斯·里斯 / 刘爽 / 广西师范大学出版社 / 2016-9 / 79.00元,2016.0,1813,,https://book.douban.com/subject/26861418/
送你一颗子弹,8.6,刘瑜 / 上海三联书店 / 2010-1 / 25.00元,2010.0,5606,在这本书里，被“审视”的东西杂七杂八,https://book.douban.com/subject/4238362/
显微镜下的大明,8.7,马伯庸 / 湖南文艺出版社 / 2019-1 / 52.00元,2019.0,5056,,https://book.douban.com/subject/30414743/
不存在的骑士,8.9,[意] 伊塔洛·卡尔维诺 / 吴正仪 / 译林出版社 / 2012-4 / 22.00元,2012.0,1870,,https://book.douban.com/subject/6789551/
现代艺术150年: 一个未完成的故事,9.1,[英] 威尔·贡培兹 / 王烁 / 广西师范大学出版社 / 2017-3 / 65.00元,2017.0,4024,,https://book.douban.com/subject/26854318/
黑箱：日本之耻,8.9,[日] 伊藤诗织 / 匡匡 / 雅众文化/中信出版集团 / 2019-4 / 48.00元,2019.0,5511,,https://book.douban.com/subject/30484795/
会饮篇,9.3,[古希腊] 柏拉图 / 王太庆 / 商务印书馆 / 2013-1 / 12.00元,2013.0,2105,,https://book.douban.com/subject/21570668/
渴望生活: 梵高传,9.1,[美] 欧文·斯通 / 常涛 / 北京十月文艺出版社 / 2008-4 / 29.80元,2008.0,726,梵高悲惨而成就辉煌的人生,https://book.douban.com/subject/3054821/
坟,9.6,鲁迅 / 人民文学出版社 / 2006-12 / 16.00元,2006.0,1033,,https://book.douban.com/subject/1974029/
论语,9.1,刘胜利 / 中华书局 / 2006-12 / 9.80元,2006.0,1226,仁远乎哉？我欲仁，斯仁至矣,https://book.douban.com/subject/1964774/
野火集: 二十年纪念版,8.7,龙应台 / 文汇出版社 / 2005-8 / 25.00元,2005.0,578,中国人，你为什么不生气,https://book.douban.com/subject/1426971/
浮生六记,8.7,（清）沈复 / 人民文学出版社 / 1999-1 / 38,1999.0,9248,苟不记之笔墨，未免有辜彼苍之厚,https://book.douban.com/subject/1088581/
红星照耀中国,9.2,[美] 埃德加·斯诺埃 / 董乐山 / 人民文学出版社 / 2016-6 / 43.00元,2016.0,3794,,https://book.douban.com/subject/26820347/
象棋的故事,9.2,[奥] 斯蒂芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 23.00元,2007.0,804,纳粹法西斯对人心灵的折磨及摧残,https://book.douban.com/subject/2158684/
分成两半的子爵,8.8,[意] 伊塔洛·卡尔维诺 / 吴正仪 / 译林出版社 / 2012-4-1 / 20.00元,2012.0,1433,,https://book.douban.com/subject/10555486/
你好，旧时光（上 下）,8.7,八月长安 / 新世界出版社 / 2009-12 / 39.80元,2009.0,2466,原作名切题,https://book.douban.com/subject/4166819/
打开一颗心: 一位心外科医生手术台前的生死故事,9.1,[英] 斯蒂芬·韦斯塔比 / 高天羽 / 广西师范大学出版社 / 2022-4 / 56,2022.0,1111,,https://book.douban.com/subject/30277179/
火星救援,8.9,[美] 安迪·威尔 / 陈灼 / 译林出版社 / 2015-10 / 38.00,2015.0,2507,,https://book.douban.com/subject/26586492/
金锁记,8.7,张爱玲 / 哈尔滨出版社 / 2005-6 / 13.5元,2005.0,4203,一个小商人家庭出身的女子曹七巧的心灵变迁历程,https://book.douban.com/subject/3017857/
白痴,9.3,[俄] 陀思妥耶夫斯基 / 荣如德 / 上海译文出版社 / 2015-1 / 68.00,2015.0,4077,,https://book.douban.com/subject/25887933/
银河系漫游指南,8.8,[英] 道格拉斯·亚当斯 / 徐百柯 / 四川科学技术出版社 / 2005-6 / 16.00元,2005.0,2297,一场穿越银河的冒险,https://book.douban.com/subject/1394364/
时间的秩序,8.9,[意] 卡洛·罗韦利 / 杨光 / 湖南科学技术出版社 / 2019-6 / 56.00元,2019.0,6060,,https://book.douban.com/subject/33424487/
哈姆莱特,8.7,[英] 莎士比亚 / 朱生豪 / 人民文学出版社 / 2001-1 / 7.00元,2001.0,1144,生存还是毁灭，这是一个值得思考的问题,https://book.douban.com/subject/1006197/
你一生的故事: 特德·姜科幻小说集,8.7,[美] 特德·姜 / 李克勤 / 译林出版社 / 2015-5 / 36.00元,2015.0,5990,特德·姜科幻小说集,https://book.douban.com/subject/26295448/
规训与惩罚: 监狱的诞生,9.3,[法] 米歇尔·福柯 / 刘北成 / 生活·读书·新知三联书店 / 2003-1 / 21.80元,2003.0,2522,,https://book.douban.com/subject/1012307/
上学记,8.9,何兆武 口述 / 生活·读书·新知三联书店 / 2006-8 / 19.80元,2006.0,563,,https://book.douban.com/subject/1859140/
夏洛的网,8.7,[美] E.B.怀特 / 任溶溶 / 上海译文出版社 / 2004-5 / 17.00元,2004.0,1738,,https://book.douban.com/subject/1036274/
解忧杂货店,8.5,[日] 东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元,2014.0,48501,,https://book.douban.com/subject/25862578/
二手时间,8.8,[白俄] S. A. 阿列克谢耶维奇 / 吕宁思 / 中信出版社 / 2016-1 / 55.00元,2016.0,6193,,https://book.douban.com/subject/26704403/
贾想 I: 贾樟柯电影手记1996—2008,9.1,贾樟柯 / 台海出版社 / 2017-6-1 / 49.00元,2017.0,3199,,https://book.douban.com/subject/27062726/
毛姆短篇小说精选集,9.1,[英] 威廉·萨默塞特·毛姆 / 冯亦代 / 译林出版社 / 2012-11 / 36.00元,2012.0,1375,,https://book.douban.com/subject/10774752/
